Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13,1.620128660745219,1.6933501305901242,1.603296090968122,1.691666841506958,76216000,0.0,0.0
2002-02-14,1.7127073418283545,1.7160737592086661,1.670626081147202,1.6832504272460938,11021600,0.0,0.0
2002-02-15,1.6832502965735487,1.6874583581040796,1.6580016063358487,1.6748340129852295,8389600,0.0,0.0
2002-02-19,1.6664175486654447,1.6664175486654447,1.578046981890474,1.607503890991211,7410400,0.0,0.0
2002-02-20,1.6159201962322578,1.6622095108032227,1.6032956917790468,1.6622095108032227,6892800,0.0,0.0
2002-02-21,1.6563184915100027,1.670626126954994,1.6411692115650385,1.6580017805099487,6976800,0.0,0.0
2002-02-22,1.670626067778491,1.670626067778491,1.615920461436213,1.628544807434082,3525600,0.0,0.0
2002-02-25,1.6243365036922721,1.6537934165628076,1.6058208078583192,1.6411690711975098,3453600,0.0,0.0
2002-02-26,1.632752787444891,1.6580016387027476,1.606662452286307,1.6411690711975098,2761600,0.0,0.0
2002-02-27,1.6285451468153018,1.629386791460857,1.5990882263300767,1.6117125749588013,4091200,0.0,0.0
2002-02-28,1.6159201736667415,1.6369608000919478,1.607503890991211,1.607503890991211,2751200,0.0,0.0
2002-03-01,1.6032959020275483,1.645377160983938,1.5974045514580157,1.630228042602539,1913600,0.0,0.0
2002-03-04,1.636961149592448,1.6672595489551023,1.6344362160925292,1.6580017805099487,3180800,0.0,0.0
2002-03-05,1.649585426531279,1.6537934883265604,1.6125538727291868,1.6201285123825073,3444800,0.0,0.0
2002-03-06,1.619286878789586,1.6352778026680965,1.615920461436213,1.628544807434082,1316800,0.0,0.0
2002-03-07,1.6285445107374923,1.7337476424320688,1.6285445107374923,1.7185983657836914,2700800,0.0,0.0
2002-03-08,1.7084989468425034,1.7674127700552464,1.7084989468425034,1.7589964866638184,1600800,0.0,0.0
2002-03-11,1.750580785161963,1.8010783417685654,1.7463727223311243,1.7817209959030151,5462400,0.0,0.0
2002-03-12,1.7674126866210116,1.8431589125136056,1.7674126866210116,1.784245252609253,5819200,0.0,0.0
2002-03-13,1.7842451742935832,1.8094938616404614,1.737955700121321,1.7690958976745605,5063200,0.0,0.0
2002-03-14,1.7690959511874098,1.7842452282646781,1.7539466741101413,1.7674126625061035,1696800,0.0,0.0
2002-03-15,1.7674126399194845,1.775828922691216,1.6748338504849203,1.7127070426940918,1708000,0.0,0.0
2002-03-18,1.716915154027078,1.716915154027078,1.6032957346040349,1.6243363618850708,2207200,0.0,0.0
2002-03-19,1.6369609536080432,1.6411690150768252,1.5654227849479614,1.5738390684127808,3229600,0.0,0.0
2002-03-20,1.561214504434068,1.561214504434068,1.4307626774643907,1.516608476638794,9236000,0.0,0.0
2002-03-21,1.5166087880433528,1.6201286586125692,1.5166087880433528,1.5780473947525024,4427200,0.0,0.0
2002-03-22,1.5780470460776905,1.6487435665841508,1.5578480631511658,1.6243363618850708,2494400,0.0,0.0
2002-03-25,1.641169199191137,1.667259536384488,1.614237217504159,1.6596848964691162,7571200,0.0,0.0
2002-03-26,1.6832502424280262,1.691666525745617,1.6647345475511288,1.6815669536590576,1816800,0.0,0.0
2002-03-27,1.6815671256525602,1.7674129353233832,1.674834130415276,1.733747959136963,1369600,0.0,0.0
2002-03-28,1.7253313469289517,1.7337476295072236,1.6916663771431029,1.7000826597213745,1714400,0.0,0.0
2002-04-01,1.6874584412552247,1.6874584412552247,1.5990878605414707,1.603295922279358,1880000,0.0,0.0
2002-04-02,1.5990876792539401,1.5990876792539401,1.5443820802270178,1.5687891244888306,2098400,0.0,0.0
